Id|AirlineCode|AirlineName|AirlineFullName|AirlineType
368|FL|AIRTRAN AIRWAYS|AIRTRAN AIRWAYS|
369|FM|SHANGHAI AIRLINES|SHANGHAI AIRLINES|
370|FN|REGIONAL AIR LINES|REGIONAL AIR LINES|
371|FO|FELIX AIRWAYS|FELIX AIRWAYS|
372|FP|FREEDOM AIR (GUAM)|FREEDOM AIR (GUAM)|
373|FQ|BRINDABELLA AIRLINES|BRINDABELLA AIRLINES|
374|FR|RYANAIR|RYANAIR|
375|FS|ITALI AIRLINES|ITALI AIRLINES|
376|FT|SIEM REAP AIRWAYS INTERNATIONAL|SIEM REAP AIRWAYS INTERNATIONAL|
377|FU|AIR LITTORAL|AIR LITTORAL|
378|FV|ROSSIYA AIRLINES|ROSSIYA AIRLINES|
379|FW|IBEX AIRLINES CO. LTD|IBEX AIRLINES CO. LTD|
380|FX|FEDEX AIRLINES|FEDEX AIRLINES|
381|FY|FIREFLY|FIREFLY|
382|FZ|FLYDUBAI|FLYDUBAI|
383|G1|TRANS-AIR-LINK|TRANS-AIR-LINK|
384|G3|GOL TRANSPORTES AEREOS|GOL TRANSPORTES AEREOS|
385|G4|ALLEGIANT AIR|ALLEGIANT AIR|
386|G5|CHINA EXPRESS AIRLINES|CHINA EXPRESS AIRLINES|
387|G6|ANGKOR AIRWAYS|ANGKOR AIRWAYS|
388|G7|GOJET AIRLINES|GOJET AIRLINES|
389|G8|GO AIR|GO AIR|
390|G9|AIR ARABIA|AIR ARABIA|
391|GA|GARUDA INDONESIA|GARUDA INDONESIA|FSC
392|GB|ABX AIR|ABX AIR|
393|GC|GAMBIA INTERNATIONAL AIRLINES|GAMBIA INTERNATIONAL AIRLINES|
394|GD|TAESA AIRLINES|TAESA AIRLINES|
395|GE|TRANSASIA AIRWAYS|TRANSASIA AIRWAYS|
396|GF|GULF AIR|GULF AIR|
397|GH|GLOBUS AIRLINES|GLOBUS AIRLINES|
398|GI|AIR COMPANY ITEK-AIR LTD|AIR COMPANY ITEK-AIR LTD|
399|GJ|EUROFLY|EUROFLY|
400|GK|JETSTAR JAPAN|JETSTAR JAPAN|
401|GL|AIR GREENLAND|AIR GREENLAND|
402|GM|AIR SLOVAKIA|AIR SLOVAKIA|
403|GN|AIR GABON|AIR GABON|
404|GP|PANTANAL LINHAS AEREAS|PANTANAL LINHAS AEREAS|
405|GQ|BIG SKY AIRLINES|BIG SKY AIRLINES|
406|GR|AURIGNY AIR SERVICES|AURIGNY AIR SERVICES|
407|GS|TIANJIN AIRLINES|TIANJIN AIRLINES|
408|GT|GB AIRWAYS LTD.|GB AIRWAYS LTD.|
409|GU|AVIATECA|AVIATECA|
410|GV|GRANT AVIATION|GRANT AVIATION|
411|GW|AIR LINES OF KUBAN|AIR LINES OF KUBAN|
412|GX|PRIMERA AIR|PRIMERA AIR|
413|GY|GABON AIRLINES|GABON AIRLINES|
414|GZ|AIR RAROTONGA|AIR RAROTONGA|
415|H2|SKY AIRLINE|SKY AIRLINE|
416|H3|HARBOUR AIR|HARBOUR AIR|
417|H4|HELI SECURITE|HELI SECURITE|
418|H5|MAGADAN AIRLINES|MAGADAN AIRLINES|
419|H6|HAGELAND AVIATION|HAGELAND AVIATION|
420|H7|EAGLE AIR|EAGLE AIR|
421|H8|DALAVIA FAR EAST AIRWAYS|DALAVIA FAR EAST AIRWAYS|
422|HA|HAWAIIAN AIRLINES|HAWAIIAN AIRLINES|
423|HC|LIP AIR LTD|LIP AIR LTD|
424|HD|HOKKAIDO INTERNATIONAL AIRLINES/AIR DO|HOKKAIDO INTERNATIONAL AIRLINES/AIR DO|
